0, 0: T = 7.70661, lam = 0.5, i0 = 0, j0 = 1, i1 = 1, j1 = 0
0, 1: T = 6.99951, lam = 0.540882, i0 = 0, j0 = 2, i1 = 1, j1 = 1
0, 2: T = 6.35238, lam = 0.591055, i0 = 0, j0 = 3, i1 = 1, j1 = 2
0, 3: T = 5.7834, lam = 0.655849, i0 = 0, j0 = 4, i1 = 1, j1 = 3
0, 4: T = 5.31874, lam = 0.748344, i0 = 0, j0 = 5, i1 = 1, j1 = 4
0, 5: T = 5, i0 = 1, j0 = 5
0, 6: T = 5.31874, lam = 0.251656, i0 = 1, j0 = 6, i1 = 0, j1 = 5
0, 7: T = 5.7834, lam = 0.344151, i0 = 1, j0 = 7, i1 = 0, j1 = 6
0, 8: T = 6.35238, lam = 0.408945, i0 = 1, j0 = 8, i1 = 0, j1 = 7
0, 9: T = 6.99951, lam = 0.459118, i0 = 1, j0 = 9, i1 = 0, j1 = 8
0, 10: T = 7.70661, lam = 0.5, i0 = 1, j0 = 10, i1 = 0, j1 = 9
0, 11: T = 8.46056, lam = 0.53438, i0 = 1, j0 = 11, i1 = 0, j1 = 10
0, 12: T = 9.25163, lam = 0.563923, i0 = 1, j0 = 12, i1 = 0, j1 = 11
0, 13: T = 10.0725, lam = 0.589713, i0 = 1, j0 = 13, i1 = 0, j1 = 12
0, 14: T = 10.9156, lam = 0.610553, i0 = 1, j0 = 14, i1 = 0, j1 = 13
0, 15: T = 11.7023, lam = 0.560303, i0 = 1, j0 = 15, i1 = 0, j1 = 14
0, 16: T = 11.7791, lam = 0.731854, i0 = 0, j0 = 17, i1 = 1, j1 = 16
0, 17: T = 11.4351, lam = 0.784556, i0 = 0, j0 = 18, i1 = 1, j1 = 17
0, 18: T = 11.1703, lam = 0.85268, i0 = 0, j0 = 19, i1 = 1, j1 = 18
0, 19: T = 11, i0 = 1, j0 = 19
0, 20: T = 11.1703, lam = 0.14732, i0 = 1, j0 = 20, i1 = 0, j1 = 19
0, 21: T = 11.4351, lam = 0.215444, i0 = 1, j0 = 21, i1 = 0, j1 = 20
0, 22: T = 11.7791, lam = 0.268146, i0 = 1, j0 = 22, i1 = 0, j1 = 21
0, 23: T = 12.1916, lam = 0.311702, i0 = 1, j0 = 23, i1 = 0, j1 = 22
0, 24: T = 12.6639, lam = 0.348908, i0 = 1, j0 = 24, i1 = 0, j1 = 23
0, 25: T = 13.1887, lam = 0.381371, i0 = 1, j0 = 25, i1 = 0, j1 = 24
